"Sub-Sector","Super Region","Sector","Measure","Frequency","Region","Source","Indicator","Subject","Super Region","Value","Date Value","Period Value"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.480","2019-12-08","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.440","2019-12-07","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.320","2018-11-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.320","2018-10-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.320","2018-09-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.320","2018-08-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.320","2018-07-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.320","2018-06-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.330","2018-05-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.330","2018-04-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.330","2018-03-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.330","2018-02-28","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.330","2018-01-31","d"
