"Sub-Sector","Super Region","Sub-Sector Level 2","Sector","Sub-Sector Level 3","Time Level","Unit","Source","Super Region","Value","Date Value","Period Value"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","450.010","2022-12-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","460.850","2022-11-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","458.110","2022-10-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","448.410","2022-09-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","447.560","2022-08-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","458.530","2022-07-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","473.510","2022-06-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","482.150","2022-05-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","482.210","2022-04-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","474.390","2022-03-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","462.270","2022-02-28","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","455.360","2022-01-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","455.910","2021-12-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","469.810","2021-11-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","470.170","2021-10-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","457.920","2021-09-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","457.060","2021-08-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","465.020","2021-07-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","478.230","2021-06-30","m"
