"Sub-Sector","Super Region","Energy Product","Sector","Flow Breakdown","Time Level","Country","Unit of Measurement","Source","Super Region","Value","Date Value","Period Value"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","15165.470","2020-07-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","16964.030","2020-06-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","15838.060","2020-05-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","13967.590","2020-04-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","13380.940","2020-03-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","14374.680","2020-02-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","13178.330","2020-01-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","14035.370","2019-12-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","14075.300","2019-11-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","14173.380","2019-10-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","13755.270","2019-09-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","13859.430","2019-08-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","13065.640","2019-07-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","13620.300","2019-06-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","13867.210","2019-05-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","14278.790","2019-04-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12481.390","2019-03-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","13742.400","2019-02-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","13964.220","2019-01-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","14190.330","2018-12-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","14038.290","2018-11-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12985.480","2018-10-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","13055.360","2018-09-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11983.380","2018-08-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12111.180","2018-07-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11894.290","2018-06-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12544.120","2018-05-01","d"
