iter	RMSE
0	5.682242524
1	5.618941673
2	5.550019726
3	5.47969889
4	5.40977285
5	5.348819708
6	5.294992615
7	5.246881819
8	5.196688786
9	5.146127841
10	5.092960913
11	5.037698521
12	4.983988418
13	4.933920991
14	4.882261801
15	4.834568991
16	4.787409265
17	4.73778406
18	4.68964456
19	4.64417414
20	4.610414881
21	4.569436297
22	4.524179072
23	4.487063351
24	4.451784101
25	4.409672266
26	4.371113455
27	4.343428041
28	4.318800372
29	4.2887031
30	4.256239808
31	4.227902056
32	4.207060083
33	4.178878275
34	4.148683325
35	4.124695305
36	4.100440602
37	4.073463565
38	4.045375037
39	4.018946627
40	3.994985213
41	3.970229524
42	3.947107848
43	3.926017723
44	3.905427356
45	3.891078987
46	3.865759852
47	3.841148667
48	3.819993951
49	3.796300685
50	3.782340502
51	3.757924822
52	3.736609493
53	3.717673359
54	3.698539529
55	3.677430481
56	3.663796438
57	3.643041423
58	3.629099635
59	3.613677068
60	3.593544345
61	3.567052339
62	3.551281542
63	3.534412968
64	3.5247854
65	3.509726366
66	3.495240505
67	3.479015936
68	3.467126639
69	3.449005383
70	3.438974023
71	3.428534326
72	3.421735935
73	3.409455352
74	3.396019073
75	3.387483266
76	3.373869804
77	3.357066056
78	3.343984057
79	3.327527191
80	3.319391942
81	3.311144757
82	3.297784493
83	3.283094533
84	3.273666454
85	3.261997494
86	3.250742904
87	3.241912793
88	3.2340349
89	3.219550592
90	3.211131042
91	3.204798088
92	3.190702527
93	3.178249445
94	3.168440132
95	3.160574421
96	3.149735258
97	3.14106322
98	3.131571699
99	3.128723288
100	3.119553381
101	3.109824848
102	3.100844902
103	3.09176953
104	3.081293479
105	3.069547267
106	3.062618813
107	3.048254352
108	3.038428243
109	3.030383914
110	3.020097881
111	3.01219267
112	3.003672187
113	2.992181869
114	2.98728162
115	2.978941691
116	2.974549102
117	2.970291461
118	2.961224792
119	2.95440787
120	2.947780296
121	2.942730572
122	2.932248563
123	2.925150794
124	2.917317704
125	2.908748839
126	2.904570031
127	2.899922773
128	2.895304462
129	2.889474202
130	2.87691077
131	2.873094407
132	2.867936721
133	2.86182825
134	2.849237759
135	2.843942815
136	2.83893008
137	2.831031266
138	2.826284998
139	2.81886901
140	2.805961718
141	2.798440156
142	2.790966966
143	2.781992904
144	2.773523174
145	2.765772428
146	2.754740719
147	2.74753043
148	2.735675917
149	2.729070435
150	2.722682896
151	2.717688012
152	2.711472756
153	2.701764184
154	2.692913708
155	2.683540041
156	2.679574834
157	2.675747435
158	2.674999695
159	2.666474693
160	2.658430469
161	2.65162585
162	2.644769781
163	2.641956016
164	2.634762819
165	2.633015138
166	2.624527654
167	2.615873207
168	2.60764221
169	2.601658545
170	2.597016198
171	2.595062932
172	2.591342377
173	2.5866114
174	2.580110538
175	2.57717778
176	2.574373752
177	2.56877412
178	2.559353129
179	2.553909093
180	2.547082115
181	2.542632276
182	2.534758723
183	2.531079338
184	2.527618119
185	2.523043844
186	2.518245776
187	2.513963294
188	2.510002964
189	2.506035418
190	2.49365543
191	2.487874607
192	2.482351289
193	2.478476151
194	2.474528271
195	2.472888029
196	2.469128888
197	2.461325791
198	2.45631582
199	2.453940306
200	2.447400108
201	2.444162475
202	2.440882094
203	2.436771859
204	2.431207757
205	2.42531966
206	2.421258058
207	2.418799774
208	2.413357381
209	2.409066741
210	2.404893547
211	2.402999387
212	2.399357718
213	2.395072525
214	2.387551362
215	2.379767296
216	2.372520003
217	2.36794784
218	2.364413254
219	2.361197434
220	2.358848624
221	2.357120022
222	2.35349051
223	2.348034788
224	2.341380154
225	2.336978235
226	2.328592004
227	2.324044082
228	2.32165534
229	2.318280773
230	2.309084142
231	2.304504029
232	2.300478439
233	2.29768354
234	2.296097607
235	2.293796402
236	2.291067631
237	2.288524175
238	2.281008878
239	2.278108956
240	2.264469607
241	2.261861791
242	2.259107349
243	2.257484893
244	2.253522505
245	2.245007383
246	2.243656032
247	2.240706
248	2.235544673
249	2.234313423
250	2.231620816
251	2.228980834
252	2.224794629
253	2.217730512
254	2.211521969
255	2.207514996
256	2.204404964
257	2.201137164
258	2.18926356
259	2.186841971
260	2.180793704
261	2.176934417
262	2.1702561
263	2.165084805
264	2.162981341
265	2.160828522
266	2.158906254
267	2.157520639
268	2.156498685
269	2.151665535
270	2.141807821
271	2.138795822
272	2.13699299
273	2.127064638
274	2.123438605
275	2.117768367
276	2.115288742
277	2.114194545
278	2.106693706
279	2.1036358
280	2.096075187
281	2.094521232
282	2.084554567
283	2.082363095
284	2.080400658
285	2.078589367
286	2.070715872
287	2.06863655
